Alaarv--Alaarv--Alauda-arvensis-101115-R1.wav;2181;10;3617
Alaarv--Alaarv--Alauda-arvensis-105516-R1.wav;606;25;5684
Alaarv--Alaarv--Alauda-arvensis-105516-R10.wav;2376;190;2583
Alaarv--Alaarv--Alauda-arvensis-105516-R10.wav;4308;13;1894
Alaarv--Alaarv--Alauda-arvensis-105516-R11.wav;2695;74;3445
Alaarv--Alaarv--Alauda-arvensis-105516-R11.wav;2912;29;2239
Alaarv--Alaarv--Alauda-arvensis-105516-R11_bruite20-50.wav;2561;15;5167
Alaarv--Alaarv--Alauda-arvensis-105516-R11_bruite20-50.wav;2785;16;5167
Alaarv--Alaarv--Alauda-arvensis-105516-R12.wav;2532;132;2928
Alaarv--Alaarv--Alauda-arvensis-105516-R13_bruite20-50.wav;4725;13;4306
Alaarv--Alaarv--Alauda-arvensis-105516-R3_bruite20-50.wav;1921;13;3789
Alaarv--Alaarv--Alauda-arvensis-105516-R3_bruite20-50.wav;4347;15;4823
Alaarv--Alaarv--Alauda-arvensis-105516-R4_bruite20-50.wav;950;13;2928
Alaarv--Alaarv--Alauda-arvensis-105516-R5.wav;2454;217;4995
Alaarv--Alaarv--Alauda-arvensis-105516-R5_bruite20-50.wav;2471;21;4823
Alaarv--Alaarv--Alauda-arvensis-105516-R6.wav;1404;10;7062
Alaarv--Alaarv--Alauda-arvensis-105516-R7_bruite20-50.wav;3702;26;3273
Alaarv--Alaarv--Alauda-arvensis-105516-R9.wav;4669;17;8096
Alaarv--Alaarv--Alauda-arvensis-112425-R1.wav;4141;9;6546
Alaarv--Alaarv--Alauda-arvensis-112425-R1_bruite.wav;2651;24;5167
Alaarv--Alaarv--Alauda-arvensis-112425-R3.wav;3093;13;4995
Alaarv--Alaarv--Alauda-arvensis-112425-R3.wav;3210;129;4306
Alaarv--Alaarv--Alauda-arvensis-112425-R3_bruite.wav;232;12;3789
Alaarv--Alaarv--Alauda-arvensis-112425-R3_bruite.wav;317;41;4478
Alaarv--Alaarv--Alauda-arvensis-112430-R1.wav;855;18;9819
Alaarv--Alaarv--Alauda-arvensis-112430-R1.wav;542;10;3100
Alaarv--Alaarv--Alauda-arvensis-120728-R1.wav;2366;13;172
Alaarv--Alaarv--Alauda-arvensis-120728-R10_bruite.wav;1524;61;7751
Alaarv--Alaarv--Alauda-arvensis-120728-R12.wav;3348;111;3789
Alaarv--Alaarv--Alauda-arvensis-120728-R12_bruite.wav;2269;18;3617
Alaarv--Alaarv--Alauda-arvensis-120728-R13_bruite.wav;4127;45;3617
Alaarv--Alaarv--Alauda-arvensis-120728-R14_bruite.wav;785;42;3617
Alaarv--Alaarv--Alauda-arvensis-120728-R14_bruite.wav;4532;13;4306
Alaarv--Alaarv--Alauda-arvensis-120728-R15.wav;2271;37;3445
Alaarv--Alaarv--Alauda-arvensis-120728-R15_bruite.wav;2505;10;4651
Alaarv--Alaarv--Alauda-arvensis-120728-R1_bruite.wav;2077;31;3789
Alaarv--Alaarv--Alauda-arvensis-120728-R2.wav;1583;36;172
Alaarv--Alaarv--Alauda-arvensis-120728-R5.wav;1924;13;172
Alaarv--Alaarv--Alauda-arvensis-120728-R5_bruite.wav;662;30;5167
Alaarv--Alaarv--Alauda-arvensis-120728-R7.wav;0;89;172
Alaarv--Alaarv--Alauda-arvensis-120728-R7_bruite.wav;4397;63;3789
Alaarv--Alaarv--Alauda-arvensis-120728-R8.wav;967;12;6546
Alaarv--Alaarv--Alauda-arvensis-120728-R8.wav;983;11;6373
Alaarv--Alaarv--Alauda-arvensis-120728-R8_bruite.wav;4107;206;3789
Alaarv--Alaarv--Alauda-arvensis-120728-R9.wav;6;309;4306
Alaarv--Alaarv--Alauda-arvensis-120728-R9.wav;425;70;3962
Alaarv--Alaarv--Alauda-arvensis-120728-R9_bruite.wav;457;32;3962
Alaarv--Alaarv--Alauda-arvensis-132367-R1.wav;3673;22;3445
Alaarv--Alaarv--Alauda-arvensis-132367-R2.wav;1740;12;172
Alaarv--Alaarv--Alauda-arvensis-132367-R3_bruite20-50.wav;837;145;4823
Alaarv--Alaarv--Alauda-arvensis-132367-R4.wav;783;9;172
Alaarv--Alaarv--Alauda-arvensis-132367-R4.wav;818;9;172
Alaarv--Alaarv--Alauda-arvensis-132367-R5.wav;4116;13;172
Alaarv--Alaarv--Alauda-arvensis-132367-R5_bruite20-50.wav;4135;9;7751
Alaarv--Alaarv--Alauda-arvensis-132367-R6.wav;2636;16;1205
Alaarv--Alaarv--Alauda-arvensis-132367-R7.wav;4194;12;172
Alaarv--Alaarv--Alauda-arvensis-132367-R8.wav;4224;44;2928
Alaarv--Alaarv--Alauda-arvensis-132367-R8.wav;4294;37;3100
Alaarv--Alaarv--Alauda-arvensis-132367-R8_bruite20-50.wav;1485;54;5167
Alaarv--Alaarv--Alauda-arvensis-132367-R8_bruite20-50.wav;1568;17;689
Alaarv--Alaarv--Alauda-arvensis-132367-R9.wav;3133;22;172
Alaarv--Alaarv--Alauda-arvensis-132367-R9_bruite20-50.wav;2842;9;3273
Alaarv--Alaarv--Alauda-arvensis-132367-R9_bruite20-50.wav;2906;9;3273
Alaarv--Alaarv--Alauda-arvensis-135826-R10_bruite.wav;216;9;3962
Alaarv--Alaarv--Alauda-arvensis-135826-R10_bruite.wav;1261;18;7924
Alaarv--Alaarv--Alauda-arvensis-135826-R11.wav;1801;10;9130
Alaarv--Alaarv--Alauda-arvensis-135826-R11_bruite.wav;2259;28;4478
Alaarv--Alaarv--Alauda-arvensis-135826-R12.wav;2428;10;8613
Alaarv--Alaarv--Alauda-arvensis-135826-R1_bruite.wav;2171;28;2928
Alaarv--Alaarv--Alauda-arvensis-135826-R1_bruite.wav;2236;14;2756
Alaarv--Alaarv--Alauda-arvensis-135826-R2.wav;1;10;172
Alaarv--Alaarv--Alauda-arvensis-135826-R2_bruite.wav;18;15;172
Alaarv--Alaarv--Alauda-arvensis-135826-R3.wav;1309;15;1205
Alaarv--Alaarv--Alauda-arvensis-135826-R6.wav;4252;44;3273
